Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Alabama	H 516	Consumer Protection	Failed - Adjourned	Relates to consumer protection, use of a computer to interact with a consumer when consumer believes the interaction is with a human is an unlawful trade practice.	Notification; Private Sector Use; Criminal Use
Alaska	S 2	Deepfake Disclosure	Pending - Carryover	Relates to the disclosure of election related deepfakes; relates to use of AI by state agencies; relates to the transfer of data about individuals between state agencies.	Elections; Government Use; Notification; Impact Assessment; Criminal Use
Alaska	S 33	Synthetic Media Liability	Pending - Carryover	Relates to defamation claims based on the use of synthetic media; relates to the use of synthetic media in electioneering communications.	Elections; Criminal Use; Notification
Alaska	S 64	Elections	Pending - Carryover	Relates to elections; voters; voting; voter preregistration for minors at least 16 years of age; voter registration; the Alaska Public Offices Commission; synthetic media in electioneering communications; campaign signs; public official financial disclosures; and the crime of unlawful interference with voting in the first degree. Provides for an effective date.	Elections; Notification; Criminal Use
Arizona	H 2678	Indistinguishable and Visual Depiction and Definition	Enacted	Relates to the sexual exploitation of children; provides that a dangerous crime against children shall include a visual depiction that is indistinguishable from an actual minor that is under the specified age; provides that a visual depiction includes each visual image that is contained in, among other things, a photograph or data, regardless of whether the image is created or modified by software, AI or other digital editing tools, and that is capable of conversion into a visual image.	Child Pornography; Criminal Use
Arizona	H 2712	Indistinguishable and Visual Depiction	Failed - Adjourned	Relates to indistinguishable; relates to visual depiction; relates to minor; relates to definition.	Child Pornography; Criminal Use
Arkansas	H 1041	Deceptive and Fraudulent Deepfakes in Elections	Failed	Prohibits deceptive and fraudulent deepfakes in election communications; provides for a cause of action and civil penalties for the use of deceptive and fraudulent deepfakes and for other purposes; provides that a person may, within 90 days of an election in which a candidate for an elected office will appear on the ballot, distribute synthetic media that the person knows or should know is a deceptive and fraudulent deepfake of a candidate or party on the state or local ballot if the synthetic media.	Elections; Notification; Criminal Use
Arkansas	H 1071	Frank Broyles Publicity Rights Protection Act	Enacted	Provides protections for an individual whose photograph, voice or likeness is reproduced through means of AI and used commercially; provides that it is not a violation of the Frank Broyles Publicity Rights Protection Act of 2016 if the name, voice, signature, photograph or likeness of an individual is used by a service provider of a system or network if the service provider does not have actual knowledge that a photograph, voice or likeness on the system or network is in violation.	Effect on Labor/Employment; Criminal Use; Private Sector Use
Arkansas	H 1141	Criminal Offenses	Failed	Creates criminal offenses related to deceptive and injurious media in the course of election campaigns; provides that it shall be unlawful for a person to purposely injure a candidate for office in the state by creating or causing to be created a deepfake and publishing, distributing, or causing to be published or distributed the deepfake a specified number of days before the date of the general election and on the date of the general election with the knowledge that the communication was a deep fake.	Elections; Criminal Use
Arkansas	H 1518	Offense of Creating Distributing Possessing or Viewing	Failed - Adjourned	Creates the offense of creating, distributing, possessing, or viewing AI-generated matter depicting sexually explicit conduct involving a child.	Child Pornography; Criminal Use
Arkansas	H 1823	Disrupt Explicit Forged Images and Nonconsensual Edits	Failed	Establishes the Disrupt Explicit Forged Images and Nonconsensual Edits Act of 2025; clarifies the rights for an individual affected by nonconsensual activities involving intimate digital forgeries	Criminal Use; Private Right of Action; Child Pornography
Arkansas	H 1877	Criminal Offenses	Enacted	Concerns criminal offenses related to possession of sexually explicit material that depicts a child; includes a computer-generated image that is indistinguishable from the image of a child.	Child Pornography; Criminal Use
Arkansas	S 612	Private Right of Action Against a Social Media Platform	Enacted	Creates a private right of action for the use of a design, algorithm, or feature by a social media platform that causes harm; imposes a civil penalty on a platform that knowingly and willfully contributes to the suicide or attempted suicide of a minor; provides that a platform is liable for an award of litigation costs, attorneys fees, and damages in an action brought by a parent or guardian whose child or legal dependent commits suicide or attempts suicide following exposure to certain online content.	Private Sector Use; Private Right of Action
California	A 102	Budget Act of 2025	Enacted	Provides that the Budget Act of 2025 would make appropriations for the support of state government for the specified fiscal year. Amends the Budget Act of 2025 by amending, adding, and repealing items of appropriation and making other changes. Provides for the support of, among other things, the Legislative Analyst's Office, the State Court Facilities Construction Fund, the Judicial Branch, local assistance, and the Governor's Office of Business and Economic Development.	Government Use; Appropriations
