Jurisdiction	Bill	Title	Status	Summary	Category	Links
Arkansas	S 612	Private Right of Action Against a Social Media Platform	Enacted	Creates a private right of action for the use of a design, algorithm, or feature by a social media platform that causes harm; imposes a civil penalty on a platform that knowingly and willfully contributes to the suicide or attempted suicide of a minor; provides that a platform is liable for an award of litigation costs, attorneys fees, and damages in an action brought by a parent or guardian whose child or legal dependent commits suicide or attempts suicide following exposure to certain online content.	Private Sector Use; Private Right of Action	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQVIyMDI1MDAwUzYxMiJ9.tYN-5FjxBGekTbZfG6gNSNHvI1PeT9POGJsWOJPZQmU
California	A 102	Budget Act of 2025	Enacted	Provides that the Budget Act of 2025 would make appropriations for the support of state government for the specified fiscal year. Amends the Budget Act of 2025 by amending, adding, and repealing items of appropriation and making other changes. Provides for the support of, among other things, the Legislative Analyst's Office, the State Court Facilities Construction Fund, the Judicial Branch, local assistance, and the Governor's Office of Business and Economic Development.	Government Use; Appropriations	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwQTEwMiJ9.FwEWgM6-QkcJTyLqMl0bV_S9cjPBFYVsulAxTq9HwYM
California	A 410	Bots: Disclosure	Pending	Requires a person who uses a bot to autonomously communicate with another to ensure that the bot discloses to any person with whom the bot communicates when the bot first communicates with the person that the bot is a bot and not a human being. Authorizes the attorney general, a district attorney, county counsel, city attorney, or city prosecutor to bring a civil action to punish noncompliance.	Private Sector Use; Notification; Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwQTQxMCJ9.CFUDwAWtuENOi7XUwSmoLClcFv0OezLuv3kUmo4bcJI
California	S 11	Artificial Intelligence Technology	Pending	Provides that existing law creates a civil cause of action against any person who knowingly uses the name, voice, signature, photograph, or likeness of another person, without their consent, for specified purposes. Clarifies that, for purposes of this cause of action, a digital replication of a voice or likeness that a reasonable person would believe to be a genuine voice or likeness is deemed to be the voice or likeness of the person depicted.	Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzExIn0.0hQf34KOl-qy_06E8xJ3LOBNxsECEPkD8SlJmGmgj88
California	S 69	Artificial Intelligence Program: Attorney General	Pending	Requires the attorney general to establish and maintain a specified program to build internal expertise in AI, including its applications, risks, regulatory implications, and civil rights impacts. Requires, on or before the specified date, and annually thereafter, the attorney general to submit a public report to the Legislature describing the program, key developments in AI law and policy, and recommendations for additional State oversight or safeguards.	Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzY5In0.VEvRNQ6atVxnDwTPvSZMDISO0Mskyjp72tVZ2qOWPOU
California	S 253	State Bar of California	Pending	Provides that existing law requires certain revenue received from certain noninsurance and insurance affinity programs offered to licensees of the State Bar to go to the California Lawyers Association or an affiliated 501(c)(3) organization to support diversity, equity and inclusion. The bill would require the Committee of Bar Examiners to give notice if certain changes are made to the bar examination, including changing the functionality of testing software or materials, or if AI is used in creating questions for or grading the bar examination.	Education Use; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzI1MyJ9.ZynzrndNKCZuC79NjutL4X1MzosuoUmGPixDpjvWHPU
California	S 295	California Preventing Algorithmic Collusion Act of 2025	Pending	Enacts the California Preventing Algorithmic Collusion Act of 2025 to require a person, upon request of the attorney general, to provide to the attorney general information related to pricing algorithms. Requires specified officers to certify the accuracy of the report, subject to civil penalties. Prohibits a person from using or distributing any pricing algorithm that uses, incorporates, or was trained with, competitor data.	Private Sector Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzI5NSJ9.a_5rfev7EgE3nH4NvHEU1i-wa20ua5Cgr2ekO2gsPqA
California	S 384	Preventing Algorithmic Price Fixing Act: Prohibition	Pending	Provides for the Preventing Algorithmic Price Fixing Act, which would, in addition to any other law, prohibit a seller from using a price fixing algorithm to set either a price or supply level of a good or service or a rent or occupancy level of rental property. Authorizes the attorney general or a city attorney or county counsel to file a civil action for violations of these provisions, including for a civil penalty of up to a specified amount per violation.	Private Sector Use; Housing	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzM4NCJ9.zj3NyYjuBbyJwqZ6ckDxCN4-t9GJgV9inVvQzNKr-vw
California	S 420	Automated Decision Systems	Pending	Relates to the State AI Transparency Act and providers of generative AI systems. Relates to regulating developers or deployers of a high-risk automated decision system. Requires a developer or a deployer to perform an impact assessment on the high-risk automated decision system before making it publicly available or deploying it. Authorizes the attorney general or the Civil Rights Department to bring a specified civil action to enforce compliance.	Private Sector Use; Impact Assessment; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzQyMCJ9.GETsBbkI6B3yym74TNV5K-kwU7qrFM2EAQm7pkAZ4VY
California	S 524	Law Enforcement Agencies: Artificial Intelligence	Pending	Requires each law enforcement agency to maintain a policy to require an official report prepared by a law enforcement officer or any member of a law enforcement agency to include specified information on each page, including a disclosure statement, if the report was generated in a draft, interim, or final form using AI either fully or partially.	Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzUyNCJ9.gtnpSkA9JJaw19eHQA9YFS-wHaQ2KviFWiQWwvULv0g
California	S 813	Multistakeholder Regulatory Organizations	Pending	Provides that existing law requires the Department of Technology to conduct a comprehensive inventory of all high-risk automated decision systems that have been proposed for use, development, or procurement by, or are being used, developed, or procured by, a state agency. Establishes a process by which the attorney general designates a private entity as a multistakeholder regulatory organization. Requires an MRO to perform responsibilities related to certifying the safety of AI models.	Government Use; Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ0EyMDI1MDAwUzgxMyJ9.cDnKUs-OV495dm7tVIlkmVbN_0m7DNZcwe8NteGVI2s
Colorado	S 240	Electronic Discovery in Criminal Cases Task Force	Enacted	Relates to the creation of the Electronic Discovery in Criminal Cases Task Force; provides that the task force consists of a specified number of task force members; provides that the purpose of the task force is to study the costs and management of electronic discovery in criminal cases.	Judicial Use; Studies	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiQ08yMDI1MDAwUzI0MCJ9.O1ziybAwrMsFBSR666QK6-bwwp6zEcF5vdFRt4Rd7dY
Florida	S 1740	Insurance	Failed	Specifies that hurricane mitigation grants funded through the My Safe State Home Program may be awarded only under certain circumstances; revises the surplus required for certain insurers applying for their original certificates of authority and to maintain their certificates of authority, respectively; specifies prohibitions for persons who were officers or directors of an insolvent insurer, attorneys in fact of a reciprocal insurer.	Private Sector Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiRkwyMDI1MDAwUzE3NDAifQ.V_rJJzoJMD3s_taELdDTREaHUs9KKehuup1tPpmFKh8
Florida	S 7026	Information Technology	Failed	Creates the Agency for State Systems and Enterprise Technology; requires that the Division of Elections comprehensive risk assessment comply with the risk assessment methodology developed by asset; requires agencies and the judicial branch to include a cumulative inventory and a certain status report of specified projects with their legislative budget requests; revises the powers, duties, and functions of the Department of Management Services, through the State Digital Service.	Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiRkwyMDI1MDAwUzcwMjYifQ.ctFwDKg4aZCXjYqD32wC8kUWxc26yaCGHKUKXsct-l8
Georgia	H 147	Technology Authority	Pending - Carryover	Provides for an annual inventory of AI usage by state agencies; Provides for an annual inventory of AI usage by state agencies; provides for annual reports of such; provides for the authority to develop and establish certain policies; designates the attorney general as an applicable elected representative who may approve the issuance of certain private activity bonds to finance or refinance state charter school facilities; provides for the establishment of procedures for public notices and hearings relative to the issuance of such bonds.	Government Use; Notification; Impact Assessment	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiR0EyMDI1MDAwSDE0NyJ9.iJD_C4I1AlWCjBJO-gMM1lJyTPxj24Q8KlGTGSsh8PY
Georgia	S 9	Election Interference	Pending - Carryover	Establishes the criminal offenses of fraudulent election interference and solicitation of such; provides for exceptions; provides for the Attorney General to have concurrent jurisdiction over such crimes; provides for punishment; provides for injunctive relief; provides for the State Election Board to publish results of investigations into such offenses; provides for certain disclaimers on campaign advertisements that use AI generated media; provide for the form of such disclaimers.	Criminal Use; Elections	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiR0EyMDI1MDAwUzkifQ.5uztaU_sZsmyysXPSEFRN7MltOBkuZtrqFxbdAwQlzw
Hawaii	H 831	Rental Market Algorithmic Price Setting	Pending - Carryover	Prohibits the use of algorithmic price setting in the state's rental market; requires the Department of the Attorney General to develop and undertake a public education program regarding the prohibition.	Private Sector Use; Housing; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSEkyMDI1MDAwSDgzMSJ9.t9K4Lzqegp0FkXGD5kdBw5SnMzQJewgp-_kz212WMrg
Hawaii	HCR 175	Rental Price Fixing	Failed - Adjourned	Urges the Attorney General to investigate the extent to which algorithmic price setting and price fixing practices are being used in the state's rental housing market.	Housing; Private Sector Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSEkyMDI1MDAwSENSMTc1In0.nI3sHaS4Ig-5epsc_Mjbur2Zz1ukXJFl-qf1AElzk1E
Hawaii	HR 171	Rental Price Fixing	Failed - Adjourned	Urges the Attorney General to investigate the extent to which algorithmic price setting and price fixing practices are being used in the state's rental housing market.	Private Sector Use; Housing	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSEkyMDI1MDAwSFIxNzEifQ.TtWLEEBzfP0RmYIz0eBRZEmy-14GTIdEk0tI1g09qgs
Hawaii	S 59	Discriminatory Algorithmic Eligibility Determinations	Pending - Carryover	Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires users of algorithmic decision making to send corresponding notices to individual's whose personal information is used; requires users of algorithmic decision making to submit annual reports to the Department of the Attorney General; provides means of civil enforcement.	Responsible Use; Private Sector Use; Notification; Housing; Effect on Labor/Employment	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSEkyMDI1MDAwUzU5In0.F6ZtS_EBKgVv-rFELvu_EbLOUogW0dWkFCb49pcOqsE
Hawaii	S 157	Rental Market Algorithmic Price Setting	Pending - Carryover	Prohibits the use of algorithmic price setting in the state's rental market; requires the Department of the Attorney General to develop and undertake a public education program regarding the prohibition; establishes fines and penalties.	Private Sector Use; Housing	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSEkyMDI1MDAwUzE1NyJ9.fk5iPaYUzxdtbNHQx2txgErA_pnZHELOT1HIRwqIKJY
Illinois	H 3506	Large Developer	Pending	Changes references from developer to large developer; provides that a large developer that has one or more employees in the State shall not make, adopt, or enforce any rule, regulation, or policy preventing an employee from disclosing information to a government or law enforcement agency or any supervisor, principal officer, or board member related to an activity, policy, or practice of the large developer, where the employee has a good faith belief that the activity, policy.	Responsible Use; Private Sector Use; Cybersecurity; Notification; Audit; Criminal Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSUwyMDI1MDAwSDM1MDYifQ.t3UBV-9q0UneFwieD5OwVr3jdwFaCzz_g7TdLNE-UfE
Illinois	S 2255	Surveillance Based Price and Wage Discrimination Act	Pending	Creates the Surveillance-Based Price and Wage Discrimination Act; provides that a person shall not use surveillance data as part of an automated decision system to inform the individualized price assessed to a consumer for goods or services; provides that a person shall not use surveillance data as part of an automated decision system to inform the individualized wage paid to an employee; sets forth exemptions to the provisions; provides that the attorney general shall enforce the act.	Private Sector Use; Effect on Labor/Employment; Responsible Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSUwyMDI1MDAwUzIyNTUifQ.jgojl3u0L-4I3ZoUjeX97j9YuZV8Rey4dy3EjwAdO3U
Indiana	H 1050	Technical Corrections	Enacted	Addresses technical issues in the Indiana Code, including those related to spelling, tabulation, formatting, grammar, and cross-references; resolves technical conflicts from the 2024 legislative session; makes conforming amendments.	Studies; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiSU4yMDI1MDAwSDEwNTAifQ.gjqKRpaGnFH5uy1e2HQwLVQ2CJgdb1zyHeRQqdNRQS4
Kentucky	H 498	Use of AI by Courts	Failed - Adjourned	Requests that the Supreme Court establish a pilot project to permit participating courts to use AI for court transcription services; establishes guidelines.	Government Use; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiS1kyMDI1MDAwSDQ5OCJ9.d-BaOUs5VHsrraE4dMvfPAB46p-NAxnIa_HYF3V39SI
Louisiana	H 1	Appropriations	Enacted	Makes annual appropriations for Fiscal Year 2025-2026 for the ordinary expenses of the executive branch of state government, pensions, public schools, public roads, public charities, and state institutions and providing with respect to the expenditure of said appropriations. Includes appropriations to the Lafourche Parish District Attorney's Office for a partnership with Nicholls State University to enhance investigative capabilities using AI.	Appropriations; Judicial Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTEEyMDI1MDAwSDEifQ.PggRiGImiOCffPaCMHaZmMytuooNDrePyRITgN--5iI
Louisiana	H 178	Civil and Procedure	Enacted	Prohibits an attorney from producing false evidence and including evidence that is artificially generated or altered by any means.	Judicial Use; Government Use	https://sn.lexisnexis.com/opentext/eyJ0eXBlIjoiYmlsbCIsImlkIjoiTEEyMDI1MDAwSDE3OCJ9.zKYld_ODGRI4u2-_TQJ05HQzzKS8xPJQOzmXxoE-_WM
